0 -0 0.01
0 -0.00995017 0.02
-0.0099995 -0.0198013 0.03
-0.0199941 -0.0295544 0.04
-0.0299779 -0.0392105 0.05
-0.0399453 -0.0487703 0.06
-0.0498906 -0.0582349 0.07
-0.0598085 -0.0676052 0.08
-0.0696936 -0.076882 0.09
-0.0795407 -0.0860662 0.1
-0.0893447 -0.0951586 0.11
-0.0991009 -0.10416 0.12
-0.108804 -0.113071 0.13
-0.11845 -0.121893 0.14
-0.128035 -0.130627 0.15
-0.137553 -0.139272 0.16
-0.147 -0.147831 0.17
-0.156373 -0.156303 0.18
-0.165668 -0.164689 0.19
-0.174881 -0.172991 0.2
-0.184007 -0.181208 0.21
-0.193045 -0.189341 0.22
-0.20199 -0.197392 0.23
-0.210839 -0.20536 0.24
-0.21959 -0.213247 0.25
-0.228239 -0.221052 0.26
-0.236783 -0.228777 0.27
-0.245221 -0.236422 0.28
-0.253549 -0.243988 0.29
-0.261765 -0.251474 0.3
-0.269868 -0.258883 0.31
-0.277855 -0.266214 0.32
-0.285724 -0.273467 0.33
-0.293474 -0.280644 0.34
-0.301102 -0.287745 0.35
-0.308609 -0.294769 0.36
-0.315991 -0.301719 0.37
-0.323248 -0.308594 0.38
-0.33038 -0.315394 0.39
-0.337384 -0.32212 0.4
-0.344261 -0.328773 0.41
-0.351009 -0.335353 0.42
-0.357628 -0.34186 0.43
-0.364118 -0.348295 0.44
-0.370477 -0.354658 0.45
-0.376707 -0.360949 0.46
-0.382806 -0.367169 0.47
-0.388776 -0.373319 0.48
-0.394615 -0.379398 0.49
-0.400324 -0.385406 0.5
-0.405904 -0.391345 0.51
-0.411354 -0.397215 0.52
-0.416675 -0.403015 0.53
-0.421868 -0.408747 0.54
-0.426934 -0.41441 0.55
-0.431872 -0.420005 0.56
-0.436684 -0.425532 0.57
-0.441371 -0.430991 0.58
-0.445934 -0.436382 0.59
-0.450373 -0.441707 0.6
-0.454689 -0.446965 0.61
-0.458884 -0.452156 0.62
-0.462959 -0.45728 0.63
-0.466916 -0.462339 0.64
-0.470754 -0.467331 0.65
-0.474476 -0.472258 0.66
-0.478083 -0.477119 0.67
-0.481577 -0.481915 0.68
-0.484959 -0.486646 0.69
-0.488229 -0.491312 0.7
-0.491391 -0.495914 0.71
-0.494445 -0.500451 0.72
-0.497393 -0.504923 0.73
-0.500236 -0.509332 0.74
-0.502977 -0.513676 0.75
-0.505616 -0.517957 0.76
-0.508156 -0.522174 0.77
-0.510597 -0.526328 0.78
-0.512943 -0.530418 0.79
-0.515194 -0.534445 0.8
-0.517352 -0.53841 0.81
-0.519419 -0.542311 0.82
-0.521397 -0.54615 0.83
-0.523286 -0.549926 0.84
-0.52509 -0.55364 0.85
-0.52681 -0.557292 0.86
-0.528447 -0.560881 0.87
-0.530003 -0.564408 0.88
-0.53148 -0.567874 0.89
-0.532879 -0.571278 0.9
-0.534203 -0.57462 0.91
-0.535453 -0.5779 0.92
-0.53663 -0.58112 0.93
-0.537737 -0.584277 0.94
